account_id,account_name,segment,industry,arr,seats_licensed,seats_active,contract_start_date,renewal_date,tenure_months,csm,health_score,status,churn_date,crm_churn_reason
ACC-1210,Stonebridge Technologies,Mid-Market,Financial Services,75200,177,161,2025-08-19,2027-01-11,13,Brittney Cole,50,active,,
ACC-1211,Wayfarer Solutions,SMB,Manufacturing,7700,8,6,2025-02-20,2025-10-21,19,Leila Haddad,40,churned,2025-10-21,Price
ACC-1212,Dunmore Holdings,Enterprise,Logistics,174600,115,54,2024-04-26,2027-01-11,29,Shairyar Khan,76,active,,
ACC-1213,Copperfield Partners,Mid-Market,Healthcare,45300,159,33,2023-06-01,2027-05-11,40,Brittney Cole,94,active,,
ACC-1214,Kestrel Logistics,SMB,Media,11600,35,17,2024-04-26,2027-04-11,29,Owen Trask,89,active,,
ACC-1215,Meridian Industries,Enterprise,Healthcare,391800,219,150,2025-04-21,2027-04-11,17,Caick Moreira,82,active,,
ACC-1216,Halcyon Financial,Enterprise,Financial Services,117100,686,535,2024-02-26,2027-02-10,31,Brittney Cole,87,active,,
ACC-1217,Northgate Group,Mid-Market,Manufacturing,51400,86,69,2024-07-25,2026-06-21,26,Caick Moreira,29,churned,2026-06-21,Lack of adoption
ACC-1218,Dunmore Health,Mid-Market,Financial Services,57700,147,84,2023-06-01,2027-03-12,40,Caick Moreira,48,active,,
ACC-1219,Clearpoint Analytics,Mid-Market,Financial Services,20200,23,10,2023-09-29,2027-05-11,36,Nuala Byrne,68,active,,
